Best Video Game,,Platform,,,,,,,,,,,,,,,,,,
Metascore,Title,3DS,Dreamcast,Game Boy Advance,GameCube,Nintendo 64,PC,PlayStation,PlayStation 2,PlayStation 3,PlayStation 4,PlayStation 5,Switch,Wii,Wii U,Xbox,Xbox 360,Xbox One,Xbox Series X,Grand Total
99,The Legend of Zelda: Ocarina of Time,,,,,1,,,,,,,,,,,,,,1
99 Total,,,,,,1,,,,,,,,,,,,,,1
98,Grand Theft Auto IV,,,,,,,,,1,,,,,,,1,,,2
,SoulCalibur,,1,,,,,,,,,,,,,,,,,1
,Tony Hawk's Pro Skater 2,,,,,,,1,,,,,,,,,,,,1
98 Total,,,1,,,,,1,,1,,,,,,,1,,,4
97,Disco Elysium: The Final Cut,,,,,,1,,,,,,,,,,,,,1
,Grand Theft Auto III,,,,,,,,1,,,,,,,,,,,1
,Grand Theft Auto V,,,,,,,,,1,1,,,,,,1,1,,4
,Halo: Combat Evolved,,,,,,,,,,,,,,,1,,,,1
,Metroid Prime,,,,1,,,,,,,,,,,,,,,1
,NFL 2K1,,1,,,,,,,,,,,,,,,,,1
,Perfect Dark,,,,,1,,,,,,,,,,,,,,1
,Red Dead Redemption 2,,,,,,,,,,1,,,,,,,1,,2
,Super Mario Galaxy,,,,,,,,,,,,,1,,,,,,1
,Super Mario Galaxy 2,,,,,,,,,,,,,1,,,,,,1
,Super Mario Odyssey,,,,,,,,,,,,1,,,,,,,1
,The Legend of Zelda: Breath of the Wild,,,,,,,,,,,,1,,,,,,,1
,Tony Hawk's Pro Skater 2,,1,,,,,,,,,,,,,,,,,1
,Tony Hawk's Pro Skater 3,,,,,,,,1,,,,,,,,,,,1
97 Total,,,2,,1,1,1,,2,1,2,,2,2,,1,1,2,,18
96,Batman: Arkham City,,,,,,,,,1,,,,,,,,,,1
,BioShock,,,,,,1,,,,,,,,,,1,,,2
,Elden Ring,,,,,,,,,,,1,,,,,,,1,2
,GoldenEye 007,,,,,1,,,,,,,,,,,,,,1
,Gran Turismo,,,,,,,1,,,,,,,,,,,,1
,Grand Theft Auto Double Pack,,,,,,,,,,,,,,,1,,,,1
,Grand Theft Auto V,,,,,,1,,,,,,,,,,,,,1
,Half-Life,,,,,,1,,,,,,,,,,,,,1
,Half-Life 2,,,,,,1,,,,,,,,,,,,,1
,Mass Effect 2,,,,,,,,,,,,,,,,1,,,1
,Metal Gear Solid 2: Sons of Liberty,,,,,,,,1,,,,,,,,,,,1
,Portal Companion Collection,,,,,,,,,,,,1,,,,,,,1
,Resident Evil 4,,,,1,,,,1,,,,,,,,,,,2
,Tekken 3,,,,,,,1,,,,,,,,,,,,1
,The Elder Scrolls V: Skyrim,,,,,,,,,,,,,,,,1,,,1
,The House in Fata Morgana - Dreams of the Revenants Edition -,,,,,,,,,,,,1,,,,,,,1
,The Legend of Zelda: Breath of the Wild,,,,,,,,,,,,,,1,,,,,1
,The Legend of Zelda: The Wind Waker,,,,1,,,,,,,,,,,,,,,1
,The Legend of Zelda: Twilight Princess,,,,1,,,,,,,,,,,,,,,1
,The Orange Box,,,,,,1,,,,,,,,,,1,,,2
,Uncharted 2: Among Thieves,,,,,,,,,1,,,,,,,,,,1
96 Total,,,,,3,1,5,2,2,2,,1,2,,1,1,4,,1,25
95,Baldur's Gate II: Shadows of Amn,,,,,,1,,,,,,,,,,,,,1
